자치구,행정동,행정동코드,A_인프라,B_외출커뮤적은,C_배달의존,D_이동저하,E_독거비율,Dependency
도봉구,창2동,11320512,0.5905399822283078,0.30247729423161435,0.8990825688073395,0.5416440092401413,0.18742596436258985,51.5
용산구,한남동,11170685,0.7474707551393994,0.20259136626751406,0.853211009174312,0.30155978494184055,0.32360380301805297,51.4
관악구,보라매동,11620525,0.6042397545062547,0.2426107461079151,0.8990825688073395,0.5569433939121371,0.2362039268763769,51.3
강서구,화곡6동,11500591,0.6741656801129657,0.2638042106863399,0.8807339449541284,0.43794590837541136,0.19710782967248713,51.3
강서구,화곡4동,11500570,0.636343559810186,0.22816136443161322,0.81651376146789,0.551432017499029,0.2851297829758254,51.3
종로구,숭인2동,11110710,0.5544916041745241,0.12616714890040195,0.7889908256880734,0.7932252591123741,0.40593857998786703,51.3
동작구,사당2동,11590630,0.6682864400109089,0.32081211516511804,0.9082568807339452,0.3932824989267536,0.13085784107265358,51.2
동작구,사당1동,11590620,0.68439079469716,0.1878741098691946,0.7889908256880734,0.5378252959093976,0.29208352903374607,51.2
종로구,창신2동,11110680,0.46399578846996414,0.3162441159681603,0.5229357798165137,0.9701739681501318,0.35271763036131876,51.2
영등포구,당산2동,11560560,0.6834767854426752,0.23548911836624858,1.0,0.4265020340576895,0.11180159022796651,51.1
관악구,낙성대동,11620585,0.6736534813033151,0.16358126372853424,0.7981651376146789,0.5925015843162909,0.2882557283497824,51.1
은평구,갈현1동,11380551,0.6638538968540723,0.30255773182971174,0.7155963302752294,0.4823803585665516,0.26354083672151585,51.0
마포구,성산2동,11440730,0.6574424317224755,0.282790216274204,0.9174311926605504,0.4098902222131364,0.16844487958914858,50.8
중구,황학동,11140670,0.6541152521943542,0.13348472935659808,0.6972477064220185,0.7271255391786087,0.330813897402699,50.8
성북구,장위1동,11290760,0.5553299122720589,0.2505816953490394,0.9357798165137615,0.5730073389619152,0.24291950941575038,50.7
송파구,오금동,11710570,0.6784880430104666,0.3048059266639858,0.9724770642201835,0.3040701596581965,0.1344986259683349,50.6
노원구,상계3·4동,11350665,0.5952036294426727,0.3115749022616399,0.8715596330275229,0.4541693071938182,0.23620441179582333,50.5
송파구,삼전동,11710610,0.6778213596890063,0.24038986100594706,0.7706422018348623,0.4683238955782243,0.27291160094691574,50.4
성북구,동선동,11290575,0.7086509587349165,0.15643585723118864,0.7889908256880734,0.5296440910113049,0.26641421219553585,50.3
동대문구,청량리동,11230705,0.6316872588269761,0.3527256486271332,0.5045871559633028,0.6284440991884213,0.278932550484656,50.3
노원구,상계6·7동,11350695,0.619642858905976,0.2801644133101658,0.9357798165137615,0.42179610360406405,0.19358227861001326,50.2
강서구,방화2동,11500640,0.6324088965956306,0.20215501924245746,0.9082568807339452,0.4195760165177751,0.32924733683273516,50.2
종로구,혜화동,11110650,0.6858194886294612,0.27829011839604634,0.6055045871559633,0.6175276488746242,0.19431619695024285,50.1
송파구,가락1동,11710631,0.9241912112623597,0.10384231007794946,0.9724770642201835,0.2181245783674386,0.0409099646379688,50.1
광진구,중곡1동,11215740,0.6409315079564947,0.22137041469149035,0.6055045871559633,0.6216284727190955,0.37273048171129497,50.1
